,0,1,2,3
hands,1.2,1.0,1.0,1.0
fingers,6.0,5.0,5.0,5.0
L.hand.palm_position_x,0.0,0.0,0.0,0.0
L.hand.palm_position_y,0.0,0.0,0.0,0.0
L.hand.palm_position_z,0.0,0.0,0.0,0.0
L.pitch,0.0,0.0,0.0,0.0
L.roll,0.0,0.0,0.0,0.0
L.yaw,0.0,0.0,0.0,0.0
L.Arm direction_x,0.0,0.0,0.0,0.0
L.Arm direction_y,0.0,0.0,0.0,0.0
L.Arm direction_z,0.0,0.0,0.0,0.0
L.wrist position_x,0.0,0.0,0.0,0.0
L.wrist position_y,0.0,0.0,0.0,0.0
L.wrist position_z,0.0,0.0,0.0,0.0
L.elbow position_x,0.0,0.0,0.0,0.0
L.elbow position_y,0.0,0.0,0.0,0.0
L.elbow position_z,0.0,0.0,0.0,0.0
L.Thumb_M_s_x,0.0,0.0,0.0,0.0
L.Thumb_M_s_y,0.0,0.0,0.0,0.0
L.Thumb_M_s_z,0.0,0.0,0.0,0.0
L.Thumb_M_e_x,0.0,0.0,0.0,0.0
L.Thumb_M_e_y,0.0,0.0,0.0,0.0
L.Thumb_M_e_z,0.0,0.0,0.0,0.0
L.Thumb_M_d_x,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,0.0,0.0,0.0,0.0
L.Thumb_P_s_y,0.0,0.0,0.0,0.0
L.Thumb_P_s_z,0.0,0.0,0.0,0.0
L.Thumb_P_e_x,0.0,0.0,0.0,0.0
L.Thumb_P_e_y,0.0,0.0,0.0,0.0
L.Thumb_P_e_z,0.0,0.0,0.0,0.0
L.Thumb_P_d_x,0.0,0.0,0.0,0.0
L.Thumb_P_d_y,0.0,0.0,0.0,0.0
L.Thumb_P_d_z,0.0,0.0,0.0,0.0
L.Thumb_I_s_x,0.0,0.0,0.0,0.0
L.Thumb_I_s_y,0.0,0.0,0.0,0.0
L.Thumb_I_s_z,0.0,0.0,0.0,0.0
L.Thumb_I_e_x,0.0,0.0,0.0,0.0
L.Thumb_I_e_y,0.0,0.0,0.0,0.0
L.Thumb_I_e_z,0.0,0.0,0.0,0.0
L.Thumb_I_d_x,0.0,0.0,0.0,0.0
L.Thumb_I_d_y,0.0,0.0,0.0,0.0
L.Thumb_I_d_z,0.0,0.0,0.0,0.0
L.Thumb_D_s_x,0.0,0.0,0.0,0.0
L.Thumb_D_s_y,0.0,0.0,0.0,0.0
L.Thumb_D_s_z,0.0,0.0,0.0,0.0
L.Thumb_D_e_x,0.0,0.0,0.0,0.0
L.Thumb_D_e_y,0.0,0.0,0.0,0.0
L.Thumb_D_e_z,0.0,0.0,0.0,0.0
L.Thumb_D_d_x,0.0,0.0,0.0,0.0
L.Thumb_D_d_y,0.0,0.0,0.0,0.0
L.Thumb_D_d_z,0.0,0.0,0.0,0.0
L.Index_M_s_x,0.0,0.0,0.0,0.0
L.Index_M_s_y,0.0,0.0,0.0,0.0
L.Index_M_s_z,0.0,0.0,0.0,0.0
L.Index_M_e_x,0.0,0.0,0.0,0.0
L.Index_M_e_y,0.0,0.0,0.0,0.0
L.Index_M_e_z,0.0,0.0,0.0,0.0
L.Index_M_d_x,0.0,0.0,0.0,0.0
L.Index_M_d_y,0.0,0.0,0.0,0.0
L.Index_M_d_z,0.0,0.0,0.0,0.0
L.Index_P_s_x,0.0,0.0,0.0,0.0
L.Index_P_s_y,0.0,0.0,0.0,0.0
L.Index_P_s_z,0.0,0.0,0.0,0.0
L.Index_P_e_x,0.0,0.0,0.0,0.0
L.Index_P_e_y,0.0,0.0,0.0,0.0
L.Index_P_e_z,0.0,0.0,0.0,0.0
L.Index_P_d_x,0.0,0.0,0.0,0.0
L.Index_P_d_y,0.0,0.0,0.0,0.0
L.Index_P_d_z,0.0,0.0,0.0,0.0
L.Index_I_s_x,0.0,0.0,0.0,0.0
L.Index_I_s_y,0.0,0.0,0.0,0.0
L.Index_I_s_z,0.0,0.0,0.0,0.0
L.Index_I_e_x,0.0,0.0,0.0,0.0
L.Index_I_e_y,0.0,0.0,0.0,0.0
L.Index_I_e_z,0.0,0.0,0.0,0.0
L.Index_I_d_x,0.0,0.0,0.0,0.0
L.Index_I_d_y,0.0,0.0,0.0,0.0
L.Index_I_d_z,0.0,0.0,0.0,0.0
L.Index_D_s_x,0.0,0.0,0.0,0.0
L.Index_D_s_y,0.0,0.0,0.0,0.0
L.Index_D_s_z,0.0,0.0,0.0,0.0
L.Index_D_e_x,0.0,0.0,0.0,0.0
L.Index_D_e_y,0.0,0.0,0.0,0.0
L.Index_D_e_z,0.0,0.0,0.0,0.0
L.Index_D_d_x,0.0,0.0,0.0,0.0
L.Index_D_d_y,0.0,0.0,0.0,0.0
L.Index_D_d_z,0.0,0.0,0.0,0.0
L.Middle_M_s_x,0.0,0.0,0.0,0.0
L.Middle_M_s_y,0.0,0.0,0.0,0.0
L.Middle_M_s_z,0.0,0.0,0.0,0.0
L.Middle_M_e_x,0.0,0.0,0.0,0.0
L.Middle_M_e_y,0.0,0.0,0.0,0.0
L.Middle_M_e_z,0.0,0.0,0.0,0.0
L.Middle_M_d_x,0.0,0.0,0.0,0.0
L.Middle_M_d_y,0.0,0.0,0.0,0.0
L.Middle_M_d_z,0.0,0.0,0.0,0.0
L.Middle_P_s_x,0.0,0.0,0.0,0.0
L.Middle_P_s_y,0.0,0.0,0.0,0.0
L.Middle_P_s_z,0.0,0.0,0.0,0.0
L.Middle_P_e_x,0.0,0.0,0.0,0.0
L.Middle_P_e_y,0.0,0.0,0.0,0.0
L.Middle_P_e_z,0.0,0.0,0.0,0.0
L.Middle_P_d_x,0.0,0.0,0.0,0.0
L.Middle_P_d_y,0.0,0.0,0.0,0.0
L.Middle_P_d_z,0.0,0.0,0.0,0.0
L.Middle_I_s_x,0.0,0.0,0.0,0.0
L.Middle_I_s_y,0.0,0.0,0.0,0.0
L.Middle_I_s_z,0.0,0.0,0.0,0.0
L.Middle_I_e_x,0.0,0.0,0.0,0.0
L.Middle_I_e_y,0.0,0.0,0.0,0.0
L.Middle_I_e_z,0.0,0.0,0.0,0.0
L.Middle_I_d_x,0.0,0.0,0.0,0.0
L.Middle_I_d_y,0.0,0.0,0.0,0.0
L.Middle_I_d_z,0.0,0.0,0.0,0.0
L.Middle_D_s_x,0.0,0.0,0.0,0.0
L.Middle_D_s_y,0.0,0.0,0.0,0.0
L.Middle_D_s_z,0.0,0.0,0.0,0.0
L.Middle_D_e_x,0.0,0.0,0.0,0.0
L.Middle_D_e_y,0.0,0.0,0.0,0.0
L.Middle_D_e_z,0.0,0.0,0.0,0.0
L.Middle_D_d_x,0.0,0.0,0.0,0.0
L.Middle_D_d_y,0.0,0.0,0.0,0.0
L.Middle_D_d_z,0.0,0.0,0.0,0.0
L.Ring_M_s_x,0.0,0.0,0.0,0.0
L.Ring_M_s_y,0.0,0.0,0.0,0.0
L.Ring_M_s_z,0.0,0.0,0.0,0.0
L.Ring_M_e_x,0.0,0.0,0.0,0.0
L.Ring_M_e_y,0.0,0.0,0.0,0.0
L.Ring_M_e_z,0.0,0.0,0.0,0.0
L.Ring_M_d_x,0.0,0.0,0.0,0.0
L.Ring_M_d_y,0.0,0.0,0.0,0.0
L.Ring_M_d_z,0.0,0.0,0.0,0.0
L.Ring_P_s_x,0.0,0.0,0.0,0.0
L.Ring_P_s_y,0.0,0.0,0.0,0.0
L.Ring_P_s_z,0.0,0.0,0.0,0.0
L.Ring_P_e_x,0.0,0.0,0.0,0.0
L.Ring_P_e_y,0.0,0.0,0.0,0.0
L.Ring_P_e_z,0.0,0.0,0.0,0.0
L.Ring_P_d_x,0.0,0.0,0.0,0.0
