,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
hands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fingers,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
L.hand.palm_position_x,0.0,0.0,0.0,0.0,0.0,38.094387817400005,0.0,0.0,37.067572021400004,0.0,0.0,37.020675659199995,178.8635986328,179.62060546879997,179.83517456060002,178.69212036140001,178.6478424074,179.3213562014,179.39133605939998,180.277923584,180.19731445320002,179.291467285,178.7512786866,178.97889099100001,179.28298034640002,179.40939636240003,179.58059692350002
L.hand.palm_position_y,0.0,0.0,0.0,0.0,0.0,28.371289062400002,0.0,0.0,29.352053833000003,0.0,0.0,29.085183715799996,142.6947509766,144.3580444336,145.41832580579998,145.39170837399996,145.41610107399998,145.1297729492,144.90710754399998,145.22398986820002,145.4717620852,145.4270874024,144.8115875242,144.5042053224,144.44035949699997,144.53706665040002,144.5295639035
L.hand.palm_position_z,0.0,0.0,0.0,0.0,0.0,7.41934127808,0.0,0.0,7.106707000739999,0.0,0.0,6.96817016602,29.95403594972,28.9526123047,28.591030502339997,28.82315216064,29.284453964260003,28.648333740220004,28.768684768680004,29.350371170059997,29.51668128966,29.865869903580005,29.89496955872,30.08384399414,30.45772361756,30.72767295836,30.74378204345
L.pitch,0.0,0.0,0.0,0.0,0.0,1.1229762593639998,0.0,0.0,1.2084126207439998,0.0,0.0,1.3275777373020001,10.312229120768,16.89648767356,18.69779196928,15.398985585279998,13.82636490486,14.07035104694,15.23968183708,17.46096046788,16.659160795240002,12.802736907099998,11.096121915480001,11.23373895908,11.40167692024,11.619707830920001,11.961296352849999
L.roll,0.0,0.0,0.0,0.0,0.0,15.189866876280002,0.0,0.0,18.33981355448,0.0,0.0,17.93127671282,-145.76261252199998,-122.01082338359997,-111.0396638784,-126.05002791719998,-140.9084134146,-139.941294134,-130.5160127278,-116.948664138,-118.16641174920001,-141.633591,-149.3641276004,-148.01838907260003,-146.5825357606,-145.83491417340002,-144.71143137
L.yaw,0.0,0.0,0.0,0.0,0.0,-10.02055767094,0.0,0.0,-10.2431036782,0.0,0.0,-10.25143924116,-34.71246088808,-31.241202300000005,-30.28369172948,-31.086553838020002,-32.4866476946,-31.7134122149,-31.78171479042,-31.87072035258,-31.04322516648,-32.64838316094,-33.87333798778,-34.00176330416001,-34.10736212808,-34.2077426874,-34.130320784700004
L.Arm direction_x,0.0,0.0,0.0,0.0,0.0,0.133318400383,0.0,0.0,0.12774584293359997,0.0,0.0,0.087801516056,-0.06920724008231201,-0.0975168019534,-0.14665355384360002,-0.1903367161754,-0.2226844400168,-0.26254371702639995,-0.3010835170744,-0.3338903427124,-0.37749488949800003,-0.40879381299020007,-0.44201993942260004,-0.4687699615956,-0.495180273056,-0.5313469171522001,-0.558415979147
L.Arm direction_y,0.0,0.0,0.0,0.0,0.0,0.0909134149552,0.0,0.0,0.1049096345902,0.0,0.0,0.16643505096439998,0.9288661003111999,0.8921591520308001,0.8655722379684001,0.8578122258186,0.8398542642594,0.8162616848945999,0.7834299921988,0.7454353690146001,0.721114885807,0.7066209197044,0.6786460518838,0.6470229148866,0.6131088256836,0.5633358597754,0.5231282711024999
L.Arm direction_z,0.0,0.0,0.0,0.0,0.0,-0.1181564807892,0.0,0.0,-0.11258316040039999,0.0,0.0,-0.06775150299079999,0.3563199222088,0.44091002345099994,0.4786461293698,0.47727583646780003,0.4948353826998,0.514329123497,0.5433690786362,0.5767248034478,0.5807653069496,0.5774727940561999,0.5863973855974001,0.6012372851369999,0.6153610706327999,0.6323985576628,0.643783181906
L.wrist position_x,0.0,0.0,0.0,0.0,0.0,44.715774536199994,0.0,0.0,44.049429321199995,0.0,0.0,44.5072540284,219.3060577392,216.4959289552,215.91463317859998,217.039453125,219.21877441400002,219.7921142578,220.08791503899997,220.75489501959996,220.73515625,222.68572387700002,223.8192932128,224.4970092774,225.221850586,225.89507141100003,226.3348083495
L.wrist position_y,0.0,0.0,0.0,0.0,0.0,25.2250961304,0.0,0.0,25.826803588799997,0.0,0.0,24.7111053466,122.68560638439999,121.2912261964,121.91445312499998,123.60999603299999,123.9193527222,123.69921569819999,123.90140686039999,124.0571548464,125.0710968018,126.5196853638,127.0539154052,127.25513916,127.71152191179999,128.42580871579997,128.8111953735
