,0,1,2,3,4,5,6
hands,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fingers,5.0,5.0,5.0,5.0,5.0,5.0,5.0
L.hand.palm_position_x,1.022696971892,-6.844412422178,-6.771255302429999,-6.506971454622,-6.541540145874,-6.637342929841999,-6.44513034821
L.hand.palm_position_y,192.7631713866,185.7536987304,185.7647766114,186.1324462892,186.4748413088,186.53327941880002,186.609375
L.hand.palm_position_z,-23.35845756532,-36.25447311402,-36.232610321040006,-36.337503051759995,-35.85420684814001,-35.82062072754,-36.0328483582
L.pitch,94.97437301222001,112.0971998384,112.32626389519999,112.5794617428,112.723580102,112.60404086180002,112.67869756200001
L.roll,132.4807549146,137.8863579322,138.0133038294,138.301800095,138.1489186028,138.0381657186,138.242197132
L.yaw,-96.8757781707,-110.72537681840001,-110.85763933519999,-110.9818067112,-111.28943843500001,-111.14053211320001,-111.02130433
L.Arm direction_x,-0.1810563266278,-0.1551419049502,-0.16528455019,-0.1755486965178,-0.1906827449798,-0.195305016637,-0.198761820793
L.Arm direction_y,0.7785555124282,0.770291030407,0.769371020794,0.7656522870062,0.763628757,0.7668407082558,0.7658872008319999
L.Arm direction_z,-0.5963585734368,-0.618513917923,-0.6170422077178,-0.6188335299492,-0.6168347716332,-0.6113962531089999,-0.611482262611
L.wrist position_x,40.91234359742,34.18148727418001,34.416197967520006,34.856300354,34.70367050172,34.74049682616,35.2061500549
L.wrist position_y,144.4011596678,134.1652008058,134.33825683599997,134.8716552736,135.134262085,135.2639923094,135.566162109
L.wrist position_z,-26.523236846920003,-52.035221099859996,-52.17308120726001,-52.36789016724,-52.07546997070001,-52.05500793456,-52.262081146199996
L.elbow position_x,86.17642517095999,72.9669647217,75.73733520508,78.74347381592,82.3743560791,83.56675109864,84.8966064453
L.elbow position_y,-50.23772087095999,-58.40755462648,-58.004499053960004,-56.541417694100005,-55.77292556761999,-56.446185302740005,-55.905639648400005
L.elbow position_z,122.56640930180001,102.59326019299999,102.08747100839999,102.3404953,102.13322448739999,100.79405365,100.608482361
L.Thumb_M_s_x,45.16182861328,39.175746154799995,39.32343597412,39.773653411859996,39.66654052734,39.48205337524,39.7801399231
L.Thumb_M_s_y,166.83835754399996,152.5540527342,152.6533416748,153.2597198486,153.4762023924,153.4297882078,153.659973145
L.Thumb_M_s_z,-11.72941589356,-32.15933303834,-32.2651527405,-32.55397262572,-32.285717010499994,-32.08148536684,-32.235912323
L.Thumb_M_e_x,45.16182861328,39.175746154799995,39.32343597412,39.773653411859996,39.66654052734,39.48205337524,39.7801399231
L.Thumb_M_e_y,166.83835754399996,152.5540527342,152.6533416748,153.2597198486,153.4762023924,153.4297882078,153.659973145
L.Thumb_M_e_z,-11.72941589356,-32.15933303834,-32.2651527405,-32.55397262572,-32.285717010499994,-32.08148536684,-32.235912323
L.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,45.16182861328,39.175746154799995,39.32343597412,39.773653411859996,39.66654052734,39.48205337524,39.7801399231
L.Thumb_P_s_y,166.83835754399996,152.5540527342,152.6533416748,153.2597198486,153.4762023924,153.4297882078,153.659973145
L.Thumb_P_s_z,-11.72941589356,-32.15933303834,-32.2651527405,-32.55397262572,-32.285717010499994,-32.08148536684,-32.235912323
L.Thumb_P_e_x,33.202692031859996,26.722330856340005,26.81075820922,27.395927429199997,27.4816368103,27.113165664679997,27.219545364400002
L.Thumb_P_e_y,208.71680603040005,194.82471008299999,194.82476501460002,195.3804412842,195.7170379638,195.6720825198,195.77490234400003
L.Thumb_P_e_z,-4.688343811040001,-18.216991806000003,-18.0776199341,-18.10005226134,-18.019792556739997,-17.97886848448,-17.9232826233
