,0,1,2,3,4,5,6,7,8,9,10,11
hands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fingers,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
L.hand.palm_position_x,0.0,0.0,82.5860748292,138.39960632319998,138.658831787,139.78022460940002,138.032434082,137.6582122802,137.3431671142,137.206274414,136.8614715578,136.7079696655
L.hand.palm_position_y,0.0,0.0,107.603463745,176.2512420654,178.083514404,181.7531707762,181.526397705,180.63207397440002,179.9419158934,179.8479034424,179.7810638426,179.6195755005
L.hand.palm_position_z,0.0,0.0,-15.93581848144,-24.076278686520002,-24.5337627411,-24.94333076476,-25.349699783320002,-25.53475646972,-25.16940422058,-24.595398712159998,-23.740510559099995,-23.6224269867
L.pitch,0.0,0.0,29.234212660679997,49.75431961234,50.59501345616,51.18435906764,50.964885279520004,51.09483236204001,51.653556186079996,52.00734837792,51.83675210706,51.86259003
L.roll,0.0,0.0,-6.112352752000001,-63.70802741935999,-64.87091768252,-66.40824848264,-65.77364467112001,-63.5414486658,-62.9327025848,-62.35599965360001,-61.42743815716001,-60.90915520065
L.yaw,0.0,0.0,-26.674584212899997,-44.65262313341999,-44.76606779572,-44.699480963739994,-46.02960772764,-47.666708468180005,-48.08514088804,-48.683125322900004,-49.51480126784001,-49.90769765915
L.Arm direction_x,0.0,0.0,-0.146423253417,-0.314453834295,-0.2568945378066,-0.25626576840859994,-0.28712975382799993,-0.2907844364642,-0.2765152990816,-0.2757893562318,-0.27634815573719995,-0.2709387391805
L.Arm direction_y,0.0,0.0,0.2473673164844,0.48345053195959997,0.5227630734444,0.5030993819238,0.4815440177916,0.4833461105824,0.48950726389879995,0.48135823011420004,0.48224202394500004,0.487359121442
L.Arm direction_z,0.0,0.0,-0.5240572690966,-0.8165545940397999,-0.8127141952516,-0.8252951622010001,-0.8280036687852,-0.8256946563722,-0.8269925236702,-0.8319974780081999,-0.8313059926032,-0.8301036059855
L.wrist position_x,0.0,0.0,103.6094055176,175.839706421,175.44843444819998,176.4869171144,176.19505310079998,176.8850830078,176.4437927248,176.573400879,176.91570129379997,176.96868133549998
L.wrist position_y,0.0,0.0,84.2335784914,140.20880737299998,140.9569824218,144.2669067384,145.0082244874,144.70193481459998,143.63486022939998,143.5721679688,144.03841552720002,143.98729705800002
L.wrist position_z,0.0,0.0,9.605480766288,19.36901893616,18.404025268559998,17.744982147199998,16.913567352279998,16.22673187254,16.35008354186,16.683704757679997,17.3078365326,17.2925853729
L.elbow position_x,0.0,0.0,138.8334289552,251.48567504880003,237.24776611340002,238.13498229980001,245.2678588868,246.837069702,242.9631561278,242.91812438940002,243.39485473639996,242.146537781
L.elbow position_y,0.0,0.0,24.726147460940002,23.90848121642,15.19950714112,23.239794158960002,29.166532897939998,28.42673034668,25.87750816344,27.775170135499998,28.028810119619997,26.7467031479
L.elbow position_z,0.0,0.0,135.6742858886,215.8018676758,213.91301879879998,216.280493164,216.10064086940002,214.8583465574,215.29391784679996,216.83154296860002,217.28932800299998,216.9848327635
