,0,1,2,3,4,5,6
hands,1.2,1.0,1.0,1.0,1.0,1.0,1.0
fingers,6.0,5.0,5.0,5.0,5.0,5.0,5.0
L.hand.palm_position_x,-57.4091918946,0.0,0.0,0.0,0.0,0.0,0.0
L.hand.palm_position_y,36.0807525634,0.0,0.0,0.0,0.0,0.0,0.0
L.hand.palm_position_z,-55.314825439399996,0.0,0.0,0.0,0.0,0.0,0.0
L.pitch,10.02161498424,0.0,0.0,0.0,0.0,0.0,0.0
L.roll,9.98862585318,0.0,0.0,0.0,0.0,0.0,0.0
L.yaw,-1.3192407229260001,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_x,-0.10814561843880002,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_y,0.08147168159479999,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_z,-0.1471967816352,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_x,-57.017065429599995,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_y,26.4197418212,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_z,-46.672592163000004,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_x,-31.6822357178,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_y,7.33370513916,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_z,-12.18940734864,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_x,-53.08099975580001,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_y,29.428152465799997,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_z,-48.194467163,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_x,-53.08099975580001,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_y,29.428152465799997,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_z,-48.194467163,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,-53.08099975580001,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_y,29.428152465799997,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_z,-48.194467163,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_e_x,-48.7669891358,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_e_y,35.4768096924,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_e_z,-52.6483398438,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_x,-0.09960528612139999,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_y,-0.1396561741828,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_z,0.10283453464499999,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_x,-48.7669891358,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_y,35.4768096924,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_z,-52.6483398438,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_x,-46.118185424800004,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_y,39.367327880800005,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_z,-56.073852538999994,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_x,-0.0910053372384,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_y,-0.1336670994758,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_z,0.1176908373832,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_s_x,-46.118185424800004,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_s_y,39.367327880800005,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_s_z,-56.073852538999994,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_e_x,-44.923928833000005,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_e_y,41.529592895600004,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_e_z,-59.2145996094,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_d_x,-0.0597765088082,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_d_y,-0.1082285404206,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_d_z,0.15720481872560002,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_s_x,-56.323602295,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_s_y,31.918521118199997,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_s_z,-47.743420410199995,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_e_x,-54.4257141114,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_e_y,41.40646057119999,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_e_z,-56.0718017578,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_d_x,-0.029732188582400003,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_d_y,-0.1486374258996,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_d_z,0.1304718732834,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_s_x,-54.4257141114,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_s_y,41.40646057119999,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_s_z,-56.0718017578,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_e_x,-53.0747192382,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_e_y,45.7930480958,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_e_z,-61.793304443400004,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_d_x,-0.0368367016316,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_d_y,-0.1196062326432,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_d_z,0.156004500389,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_s_x,-53.0747192382,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_s_y,45.7930480958,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_s_z,-61.793304443400004,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_x,-51.315814208999996,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_y,46.4722625732,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_z,-65.46402587899999,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_x,-0.0852460622788,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_y,-0.0329184114934,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_z,0.17790304422380002,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_x,-51.315814208999996,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_y,46.4722625732,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_z,-65.46402587899999,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_x,-49.775845337,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_y,46.0342712402,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_z,-67.9024414062,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_x,-0.10558381080620001,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_y,0.030029693245799998,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_z,0.1671833753586,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_x,-58.19082641600001,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_y,31.5704406738,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_z,-48.72216796880001,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_x,-57.743157958999994,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_y,40.0004821778,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_z,-57.40030517580001,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_x,-0.00739528536796,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_y,-0.1392605781556,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_z,0.1433590054512,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_x,-57.743157958999994,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_y,40.0004821778,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_z,-57.40030517580001,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_x,-55.21099243159999,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_y,44.0387023926,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_z,-64.1087341308,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_x,-0.0615399062634,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_y,-0.09814196825020001,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_z,0.16303677558899998,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_x,-55.21099243159999,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_y,44.0387023926,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_z,-64.1087341308,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_x,-53.3569030762,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_y,45.962802124,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_z,-68.16227417,0.0,0.0,0.0,0.0,0.0,0.0
