,0,1,2,3,4,5,6
hands,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fingers,5.0,5.0,5.0,5.0,5.0,5.0,5.0
L.hand.palm_position_x,12.29855651856,0.0,0.0,0.0,0.0,0.0,0.0
L.hand.palm_position_y,24.7793869018,0.0,0.0,0.0,0.0,0.0,0.0
L.hand.palm_position_z,-11.70965118408,0.0,0.0,0.0,0.0,0.0,0.0
L.pitch,3.60992065058,0.0,0.0,0.0,0.0,0.0,0.0
L.roll,-1.113422959036,0.0,0.0,0.0,0.0,0.0,0.0
L.yaw,0.554555018018,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_x,-0.0607680797576,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_y,0.07543139457700002,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_z,-0.1749781250954,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_x,11.0152671814,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_y,21.138554382400002,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_z,1.91258354187,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_x,26.415451049799998,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_y,2.02231349946,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_z,46.2565093994,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_x,15.590406799319998,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_y,19.893463134759998,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_z,-1.793091201782,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_x,15.590406799319998,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_y,19.893463134759998,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_z,-1.793091201782,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,15.590406799319998,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_y,19.893463134759998,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_z,-1.793091201782,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_e_x,19.722421264639998,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_e_y,19.19057006836,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_e_z,-10.174124145499999,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_x,-0.08819044232359999,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_y,0.0150019928813,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_z,0.17887812852860002,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_x,19.722421264639998,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_y,19.19057006836,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_z,-10.174124145499999,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_x,21.0481399536,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_y,18.40327606202,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_z,-16.28454742432,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_x,-0.0420732527972,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_y,0.0249857068062,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_z,0.1939215183258,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_s_x,21.0481399536,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_s_y,18.40327606202,0.0,0.0,0.0,0.0,0.0,0.0
