,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
hands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fingers,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
L.hand.palm_position_x,0.0,0.0,0.0,29.0887115478,123.6415771486,86.72505493156,39.45005874632,-2.4833181858160005,-30.59495010374,-36.56685256958,-28.643224716180004,-17.8347475052,-13.53362483978,-9.197069358826,-4.571380329131999,2.9695672750488002,8.992381191251999,7.188483047486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.hand.palm_position_y,0.0,0.0,0.0,60.4057312012,340.76575317379996,373.066027832,381.3364685058,357.53602294899997,343.2793579104,337.564251709,327.7033752442,316.65044555659995,307.4886779786,299.3877197266,283.587713623,262.52245483400003,246.0958526612,195.9705535888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.hand.palm_position_z,0.0,0.0,0.0,9.60414276124,29.79362506868,0.18724064827000078,-22.75283699034,-34.59977493286,-32.36669845582,-24.274365234379996,-12.208449172972001,-6.756756973265999,-4.592728424070001,-0.26998838484300014,1.972048377992,-1.1566467583177997,-11.872406768802,-9.9832332611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.pitch,0.0,0.0,0.0,3.17484271802,77.54039759733999,102.41291492374,110.492468731,122.269220371,141.7115234592,148.9715119298,155.8332293332,154.88087692160002,152.4112635376,151.9137716774,151.7901233954,150.5869090608,143.8858786898,115.07060798120001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.roll,0.0,0.0,0.0,10.613189286479999,52.15896047913999,118.58237368956,140.125826723,139.77963448279996,145.77550245519998,149.74638323980002,157.31962877819998,159.722344556,159.4830884908,156.174001135,153.3847977322,156.423210152,152.1340889938,121.5896493258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.yaw,0.0,0.0,0.0,-13.946409066760001,-83.83143834546,-96.14285993236,-102.79949407320001,-108.14585885940001,-123.230391923,-131.1581843892,-132.647832272,-136.11176001799998,-136.899636008,-139.43116095919999,-139.05330122979998,-137.8998325296,-131.8302804754,-105.96086765800001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_x,0.0,0.0,0.0,-0.014938955008979998,-0.21258579790579998,-0.41456970870500004,-0.3880852401256,-0.5038626670836,-0.5365648984908,-0.13819045424479998,-0.2609133124352,-0.3863474369048,-0.42319100499159995,-0.43566983938180004,-0.41775714755079996,-0.4543655633928,-0.4072856426238,-0.24350706338880004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_y,0.0,0.0,0.0,-0.018024636805059998,0.14715336710226,0.32721277475379995,0.2613450765608,0.5633135795591999,0.7568974018098,0.8298665046692001,0.7886630535126,0.7531614303588,0.7485607743264,0.7984439492224,0.8800498604774001,0.8628636956214001,0.7826796531676001,0.6020470976828001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_z,0.0,0.0,0.0,-0.19862512350080003,-0.9589461684228,-0.8094960093499999,-0.8822835683824002,-0.6297232389449999,-0.34819549322119997,-0.5375358223915999,-0.5508592367174,-0.5320965886116,-0.5103365600112,-0.41017670631399994,-0.22288815677159998,-0.217884671688,-0.46373726129539994,-0.4666231155396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_x,0.0,0.0,0.0,39.79992675780001,180.41159973140003,144.72713165279998,93.28203887935999,51.63099441528,15.802149963384002,2.3276610136019995,12.016225624072002,20.810303115840004,24.030463790899997,25.731358718859997,29.78346328736,38.27531814574,47.73937988282,37.38354415892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_y,0.0,0.0,0.0,58.335107421800004,316.1708374024,348.6368774412,349.6670471192,327.6959960938,312.02590942380004,303.50413818360005,297.9032409668,285.38152465840005,274.25079345719996,265.3677978514,249.90022277819997,228.0044616698,209.05456237800004,165.6650299072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_z,0.0,0.0,0.0,16.88401947022,41.79069633482,-2.4981000900340002,-31.1034992218,-51.25488967894,-64.38628387450001,-59.86657562254,-49.470163726820005,-45.604615020740006,-43.37698287964,-41.41723785399999,-41.145758819579996,-43.13261871338,-46.835677337659995,-37.07647857668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_x,0.0,0.0,0.0,43.356115722599995,231.01721496600004,243.41461181660003,185.6649322512,171.5744720458,143.53032989514,35.223616409319995,74.12610778814,112.77952117919999,124.77021789559998,129.44167480480002,129.229699707,146.4361083984,144.6928955078,95.34990234360001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_y,0.0,0.0,0.0,62.62583618159999,281.1412841796,270.74454650900003,287.45438842760007,193.60035095220002,131.8480270386,105.95611267079998,110.163619995,106.09297790539999,96.05742034912001,75.29984207151999,40.40615119934,22.601516342140002,22.73927268982,22.34894828796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_z,0.0,0.0,0.0,64.1663269042,270.06587524419996,190.20077209480002,178.922305298,98.6494430542,18.500943088532004,68.09272918702001,81.66075439452001,81.05988922122,78.10758972168,56.22448654174,11.912309813503999,8.734383225438,63.55603256226,74.00220031737999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_x,0.0,0.0,0.0,39.5330322266,159.4115173338,132.82449798599998,81.23696899417999,41.62523117063999,17.195737266540004,11.06870956422,20.133986473079997,29.725077438339998,33.41970977782,36.31128005982,40.82754516600001,49.031695556619994,56.186012268060004,44.75629272462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
